"filename", "language", "JavaScript", "JSON", "Ini", "XML", "CSS", "HTML", "Markdown", "comment", "blank", "total"
"/Users/Yuriy/projects/hotel/client/src/components/client_components/shared/FlipImgComponent.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 4, 3, 29
"/Users/Yuriy/projects/hotel/client/src/components/client_components/shared/GenericImgModalCarousel.js", "JavaScript", 48, 0, 0, 0, 0, 0, 0, 10, 6, 64
"/Users/Yuriy/projects/hotel/client/src/components/client_components/shared/css/animatedBorder.module.css", "CSS", 0, 0, 0, 0, 14, 0, 0, 1, 1, 16
"/Users/Yuriy/projects/hotel/client/src/components/client_components/shared/css/animatedBorderButton.module.css", "CSS", 0, 0, 0, 0, 64, 0, 0, 0, 3, 67
"/Users/Yuriy/projects/hotel/client/src/components/client_components/shared/css/clientNotFoundComponent.module.css", "CSS", 0, 0, 0, 0, 28, 0, 0, 0, 0, 28
"/Users/Yuriy/projects/hotel/client/src/components/client_components/shared/css/flipImgComponent.module.css", "CSS", 0, 0, 0, 0, 54, 0, 0, 0, 8, 62
"/Users/Yuriy/projects/hotel/client/src/components/client_components/shared/css/genericImgModal.module.css", "CSS", 0, 0, 0, 0, 59, 0, 0, 1, 2, 62
"/Users/Yuriy/projects/hotel/client/src/components/display_components/ErrorComponent.js", "JavaScript", 45, 0, 0, 0, 0, 0, 0, 1, 2, 48
"/Users/Yuriy/projects/hotel/client/src/components/display_components/NotAllowedComponent.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 1, 3, 25
"/Users/Yuriy/projects/hotel/client/src/components/display_components/SuccessComponent.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 4, 36
"/Users/Yuriy/projects/hotel/client/src/components/display_components/css/notAllowedComponent.module.css", "CSS", 0, 0, 0, 0, 59, 0, 0, 0, 6, 65
"/Users/Yuriy/projects/hotel/client/src/components/helpers/checkLogin.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 3, 2, 25
"/Users/Yuriy/projects/hotel/client/src/components/helpers/componentHelpers.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 5, 3, 46
"/Users/Yuriy/projects/hotel/client/src/components/helpers/dateHelpers.js", "JavaScript", 59, 0, 0, 0, 0, 0, 0, 10, 1, 70
"/Users/Yuriy/projects/hotel/client/src/components/helpers/displayHelpers.js", "JavaScript", 109, 0, 0, 0, 0, 0, 0, 11, 13, 133
"/Users/Yuriy/projects/hotel/client/src/components/helpers/mockData.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 1, 4, 43
"/Users/Yuriy/projects/hotel/client/src/components/helpers/protectedRoute.js", "JavaScript", 52, 0, 0, 0, 0, 0, 0, 10, 4, 66
"/Users/Yuriy/projects/hotel/client/src/i18n.js", "JavaScript", 241, 0, 0, 0, 0, 0, 0, 3, 6, 250
"/Users/Yuriy/projects/hotel/client/src/index.css", "CSS", 0, 0, 0, 0, 15, 0, 0, 5, 2, 22
"/Users/Yuriy/projects/hotel/client/src/index.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 3, 3, 16
"/Users/Yuriy/projects/hotel/client/src/logo.svg", "XML", 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"/Users/Yuriy/projects/hotel/client/src/redux/actions/adminAction.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"/Users/Yuriy/projects/hotel/client/src/redux/actions/adminConversationActions.js", "JavaScript", 481, 0, 0, 0, 0, 0, 0, 42, 23, 546
"/Users/Yuriy/projects/hotel/client/src/redux/actions/apiActions.js", "JavaScript", 138, 0, 0, 0, 0, 0, 0, 1, 6, 145
"/Users/Yuriy/projects/hotel/client/src/redux/actions/appGeneralActions.js", "JavaScript", 60, 0, 0, 0, 0, 0, 0, 0, 4, 64
"/Users/Yuriy/projects/hotel/client/src/redux/actions/clientActions.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 3, 7, 41
"/Users/Yuriy/projects/hotel/client/src/redux/actions/contactPostActions.js", "JavaScript", 220, 0, 0, 0, 0, 0, 0, 7, 21, 248
"/Users/Yuriy/projects/hotel/client/src/redux/actions/conversationActions.js", "JavaScript", 194, 0, 0, 0, 0, 0, 0, 13, 16, 223
"/Users/Yuriy/projects/hotel/client/src/redux/actions/diningActions.js", "JavaScript", 461, 0, 0, 0, 0, 0, 0, 23, 56, 540
"/Users/Yuriy/projects/hotel/client/src/redux/actions/helpers/errorHelpers.js", "JavaScript", 49, 0, 0, 0, 0, 0, 0, 2, 3, 54
"/Users/Yuriy/projects/hotel/client/src/redux/actions/helpers/generateReplyEmailBody.js", "JavaScript", 190, 0, 0, 0, 0, 0, 0, 1, 2, 193
"/Users/Yuriy/projects/hotel/client/src/redux/actions/newsPostActions.js", "JavaScript", 350, 0, 0, 0, 0, 0, 0, 7, 35, 392
