Date : 2021-08-23 17:03:12
Directory : /Users/Yuriy/projects/hotel
Total : 465 files,  93791 codes, 11753 comments, 15340 blanks, all 120884 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Users/Yuriy/projects/hotel/client/src/assets/theme/vendor/bootstrap/css/bootstrap-reboot.min.css                               | CSS        |          1 |          7 |          0 |          8 |
| /Users/Yuriy/projects/hotel/client/src/assets/theme/vendor/bootstrap/css/bootstrap.css                                          | CSS        |      8,832 |          7 |      1,199 |     10,038 |
| /Users/Yuriy/projects/hotel/client/src/assets/theme/vendor/bootstrap/css/bootstrap.min.css                                      | CSS        |          1 |          6 |          0 |          7 |
| /Users/Yuriy/projects/hotel/client/src/assets/theme/vendor/bootstrap/js/bootstrap.bundle.js                                     | JavaScript |      4,493 |      1,359 |      1,162 |      7,014 |
| /Users/Yuriy/projects/hotel/client/src/assets/theme/vendor/bootstrap/js/bootstrap.js                                            | JavaScript |      3,262 |        332 |        842 |      4,436 |
| /Users/Yuriy/projects/hotel/client/src/assets/theme/vendor/bootstrap/js/bootstrap.min.js                                        | JavaScript |          1 |          6 |          0 |          7 |
| /Users/Yuriy/projects/hotel/client/src/assets/theme/vendor/fontawesome-free/css/all.css                                         | CSS        |      2,963 |          6 |      1,428 |      4,397 |
| /Users/Yuriy/projects/hotel/client/src/assets/theme/vendor/fontawesome-free/css/all.min.css                                     | CSS        |          1 |          4 |          0 |          5 |
| /Users/Yuriy/projects/hotel/client/src/assets/theme/vendor/fontawesome-free/css/brands.css                                      | CSS        |          9 |          4 |          2 |         15 |
| /Users/Yuriy/projects/hotel/client/src/assets/theme/vendor/fontawesome-free/css/brands.min.css                                  | CSS        |          1 |          4 |          0 |          5 |
| /Users/Yuriy/projects/hotel/client/src/assets/theme/vendor/fontawesome-free/css/fontawesome.css                                 | CSS        |      2,933 |          6 |      1,425 |      4,364 |
| /Users/Yuriy/projects/hotel/client/src/assets/theme/vendor/fontawesome-free/css/fontawesome.min.css                             | CSS        |          1 |          4 |          0 |          5 |
| /Users/Yuriy/projects/hotel/client/src/assets/theme/vendor/fontawesome-free/css/regular.css                                     | CSS        |         10 |          4 |          2 |         16 |
| /Users/Yuriy/projects/hotel/client/src/assets/theme/vendor/fontawesome-free/css/regular.min.css                                 | CSS        |          1 |          4 |          0 |          5 |
| /Users/Yuriy/projects/hotel/client/src/assets/theme/vendor/fontawesome-free/css/solid.css                                       | CSS        |         11 |          4 |          2 |         17 |
| /Users/Yuriy/projects/hotel/client/src/assets/theme/vendor/fontawesome-free/css/solid.min.css                                   | CSS        |          1 |          4 |          0 |          5 |
| /Users/Yuriy/projects/hotel/client/src/assets/theme/vendor/fontawesome-free/css/svg-with-js.css                                 | CSS        |        312 |          4 |         56 |        372 |
| /Users/Yuriy/projects/hotel/client/src/assets/theme/vendor/fontawesome-free/css/svg-with-js.min.css                             | CSS        |          1 |          4 |          0 |          5 |
| /Users/Yuriy/projects/hotel/client/src/assets/theme/vendor/fontawesome-free/css/v4-shims.css                                    | CSS        |      1,552 |          4 |        611 |      2,167 |
| /Users/Yuriy/projects/hotel/client/src/assets/theme/vendor/fontawesome-free/css/v4-shims.min.css                                | CSS        |          1 |          4 |          0 |          5 |
| /Users/Yuriy/projects/hotel/client/src/assets/theme/vendor/fontawesome-free/webfonts/fa-brands-400.svg                          | XML        |      3,445 |          4 |          1 |      3,450 |
| /Users/Yuriy/projects/hotel/client/src/assets/theme/vendor/fontawesome-free/webfonts/fa-regular-400.svg                         | XML        |        799 |          4 |          1 |        804 |
| /Users/Yuriy/projects/hotel/client/src/assets/theme/vendor/fontawesome-free/webfonts/fa-solid-900.svg                           | XML        |      4,645 |          4 |          1 |      4,650 |
| /Users/Yuriy/projects/hotel/client/src/assets/theme/vendor/jquery-easing/jquery.easing.compatibility.js                         | JavaScript |         49 |          9 |          2 |         60 |
| /Users/Yuriy/projects/hotel/client/src/assets/theme/vendor/jquery-easing/jquery.easing.js                                       | JavaScript |        151 |          9 |          7 |        167 |
| /Users/Yuriy/projects/hotel/client/src/assets/theme/vendor/jquery/jquery.js                                                     | JavaScript |      6,800 |      1,810 |      1,989 |     10,599 |
| /Users/Yuriy/projects/hotel/client/src/assets/theme/vendor/jquery/jquery.slim.js                                                | JavaScript |      5,413 |      1,478 |      1,605 |      8,496 |
| /Users/Yuriy/projects/hotel/client/src/assets/theme/vendor/jquery/jquery.slim.min.js                                            | JavaScript |          1 |          1 |          1 |          3 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/AdminComponent.js                                                       | JavaScript |        157 |         17 |          5 |        179 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/_helpers/clientSocketIOHelpers.js                                       | JavaScript |         53 |          6 |          2 |         61 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/_helpers/generalComponentHelpers.js                                     | JavaScript |         20 |          2 |          5 |         27 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/auth/AdminLoginComponent.js                                             | JavaScript |        136 |         13 |         11 |        160 |
| /Users/Yuriy/projects/hotel/client/src/components/admin/auth/css/adminLoginComponent.module.css                                 | CSS        |          4 |          0 |          0 |          4 |
